Team,PTS,GP,W,L,OL,PTS%,GF,GA,Playoffs,Season
CAR,113,82,52,21,9,0.689,266,213,True,2023
NJD,112,82,52,22,8,0.683,291,226,True,2023
VEG,111,82,51,22,9,0.677,272,229,True,2023
TOR,111,82,50,21,11,0.677,279,222,True,2023
EDM,109,82,50,23,9,0.665,325,260,True,2023
COL,109,82,51,24,7,0.665,280,226,True,2023
DAL,108,82,47,21,14,0.659,285,218,True,2023
NYR,107,82,47,22,13,0.652,277,219,True,2023
LAK,104,82,47,25,10,0.634,280,257,True,2023
MIN,103,82,46,25,11,0.628,246,225,True,2023
SEA,100,82,46,28,8,0.61,289,256,True,2023
TBL,98,82,46,30,6,0.598,283,254,True,2023
WPG,95,82,46,33,3,0.579,247,225,True,2023
NYI,93,82,42,31,9,0.567,243,222,True,2023
CGY,93,82,38,27,17,0.567,260,252,False,2023
NSH,92,82,42,32,8,0.561,229,238,False,2023
FLA,92,82,42,32,8,0.561,290,273,True,2023
BUF,91,82,42,33,7,0.555,296,300,False,2023
PIT,91,82,40,31,11,0.555,262,264,False,2023
OTT,86,82,39,35,8,0.524,261,271,False,2023
VAN,83,82,38,37,7,0.506,276,298,False,2023
STL,81,82,37,38,7,0.494,263,301,False,2023
WSH,80,82,35,37,10,0.488,255,265,False,2023
DET,80,82,35,37,10,0.488,240,279,False,2023
PHI,75,82,31,38,13,0.457,222,277,False,2023
ARI,70,82,28,40,14,0.427,228,299,False,2023
MTL,68,82,31,45,6,0.415,232,307,False,2023
SJS,60,82,22,44,16,0.366,234,321,False,2023
CHI,59,82,26,49,7,0.36,204,301,False,2023
CBJ,59,82,25,48,9,0.36,214,330,False,2023
ANA,58,82,23,47,12,0.354,209,338,False,2023
